make,models,hybrid_type,override_value,match_motive_power,match_import_status,match_vehicle_type,match_vehicle_year_min,match_vehicle_year_max,confidence,basis,note
HONDA,SHUTTLE,unresolved,,,,,2015,2015,low,"Vehicle year 2015 mixes the IMA Fit Shuttle Hybrid and the i-DCD Shuttle launched in May 2015",
HONDA,SHUTTLE,full,,,,,2016,,high,"Manufacturer specification, not row-verified: Honda i-DCD full hybrid",
HONDA,FREED,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,2015,medium,"Honda IMA (Freed Hybrid, 2011-2016), commonly classed as a mild hybrid",
HONDA,FREED,unresolved,,,,,2016,2016,low,"Vehicle year 2016 mixes the IMA Freed Hybrid and the i-DCD Freed launched in September 2016",
HONDA,FREED,full,,,,,2017,,high,"Manufacturer specification, not row-verified: Honda i-DCD and e:HEV full hybrids",
MAZDA,AXELA,full,,,,,,,high,"Manufacturer specification, not row-verified: the Axela Hybrid uses the Toyota Hybrid System",
MAZDA,MAZDA3,mild,PETROL MILD HYBRID,PETROL HYBRID,,,2019,,high,"Manufacturer specification, not row-verified: Mazda M Hybrid (24V) from the 2019 Mazda3",
MAZDA,MAZDA3,full,,,,,,2018,medium,"Hybrid Mazda3s before 2019 are the Axela Hybrid (Toyota Hybrid System)",
MAZDA,CX-30|MX-30,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Mazda M Hybrid (24V)",
MAZDA,CX-60|CX-80|CX-90,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Mazda e-Skyactiv G 48V mild hybrid",
MAZDA,CX-60,mild,,DIESEL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Mazda e-Skyactiv D 48V mild hybrid",DIESEL HYBRID already maps to Mild hybrid; no override.
KIA,NIRO|SPORTAGE|SORENTO|CARNIVAL,full,,,,,,,high,"Manufacturer specification, not row-verified: Hyundai-Kia full hybrid (HEV)",
HYUNDAI,TUCSON|KONA|IONIQ|SANTA FE|PALISADE,full,,,,,,,high,"Manufacturer specification, not row-verified: Hyundai-Kia full hybrid (HEV)",
HAVAL,H6|JOLION,full,,,,,,,high,"Manufacturer specification, not row-verified: GWM dedicated hybrid transmission (DHT) full hybrid",
TANK,TANK,full,,,,,,,medium,"Manufacturer specification, not row-verified: GWM P2 full hybrid",
GWM,CANNON,unresolved,,,,,,,low,Hybrid type not established,
MG,ZS|3|HS,full,,,,,,,high,"Manufacturer specification, not row-verified: SAIC Hybrid+ full hybrid",
CHERY,TIGGO 4 PRO,full,,,,,,,medium,"Manufacturer specification, not row-verified: Chery dedicated hybrid transmission full hybrid",
BAIC,B30,unresolved,,,,,,,low,Hybrid type not established,
KGM,TORRES,full,,,,,,,medium,"Manufacturer specification, not row-verified: KGM full hybrid",
FORD,PUMA|FOCUS,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Ford EcoBoost Hybrid 48V mild hybrid",Pumas and Focuses recorded as PETROL are untouched.
FORD,ESCAPE|MONDEO|F150,full,,,,,,,high,"Manufacturer specification, not row-verified: Ford power-split or PowerBoost full hybrid",
SUBARU,XV|IMPREZA|FORESTER|CROSSTREK,unresolved,,,,,,,low,"Contested: Subaru e-Boxer and XV Hybrid have a small motor that can move the car on electric power at low speed but not sustain it, and sources class them both as mild and as full hybrids",About 5.7k vehicles. Deliberately unresolved: do not classify a contested nameplate either way to raise coverage.
MERCEDES-BENZ,GLC|C-CLASS|CLE|GLE|C20,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Mercedes-Benz 48V integrated starter-generator (EQ Boost)",
MERCEDES-BENZ,S400,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,medium,"Manufacturer specification, not row-verified: S 400 Hybrid (2013-2017), an assist motor that cannot drive the car on its own",
VOLVO,XC60|XC40|XC90|V60 CROSS COUNTRY|S60,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Volvo B-badged 48V mild hybrid",Recharge plug-in models are recorded as plug-in hybrids.
AUDI,Q5|S5|SQ5|A4|A7|Q7|Q8,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Audi MHEV 12V or 48V",
AUDI,A6,mild,PETROL MILD HYBRID,PETROL HYBRID,,,2018,,medium,"Manufacturer specification, not row-verified: Audi MHEV 48V (2018-)",
AUDI,A6,full,,,,,,2016,medium,"Manufacturer specification, not row-verified: A6 hybrid (2012-2014) full hybrid",
PEUGEOT,3008|2008|208|5008,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Stellantis 48V hybrid",
PEUGEOT,508|3008,full,DIESEL ELECTRIC HYBRID,DIESEL HYBRID,,,,,high,"Manufacturer specification, not row-verified: PSA HYbrid4 diesel full hybrid","DIESEL HYBRID maps to Mild hybrid, so these move to a key that maps to Hybrid."
CUPRA,LEON|FORMENTOR|TERRAMAR,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: VW eTSI 48V mild hybrid",e-Hybrid plug-in models are recorded as plug-in hybrids.
VOLKSWAGEN,T-ROC,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: VW eTSI 48V mild hybrid",
VOLKSWAGEN,GOLF,mild,PETROL MILD HYBRID,PETROL HYBRID,,,2020,,medium,"Manufacturer specification, not row-verified: VW eTSI 48V mild hybrid (Golf 8, 2020-)",
VOLKSWAGEN,TOUAREG,full,,,,,,,high,"Manufacturer specification, not row-verified: Touareg Hybrid (2011-2014) full hybrid",
SKODA,OCTAVIA,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: VW e-TEC 48V mild hybrid",
SKODA,KODIAQ,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,medium,"Manufacturer specification, not row-verified: VW eTSI 48V mild hybrid",
BMW,ACTIVEHYBRID|335I|535I|3 SERIES|5 SERIES,full,,PETROL HYBRID,,,,,medium,"Manufacturer specification, not row-verified: BMW ActiveHybrid 3 and 5 (2012-2016) full hybrids",
BMW,1 SERIES|X7,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: BMW 48V mild hybrid",
ALFA ROMEO,TONALE,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Stellantis 48V hybrid",
MASERATI,GRECALE|LEVANTE|GHIBLI,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Maserati 48V mild hybrid",
LAND ROVER,DEFENDER|RANGE ROVER,mild,PETROL MILD HYBRID,PETROL HYBRID,,,,,high,"Manufacturer specification, not row-verified: JLR MHEV 48V",Diesel MHEVs are recorded as DIESEL HYBRID and already map to Mild hybrid.
PORSCHE,911,unresolved,,,,,,,low,"Porsche T-Hybrid is neither a mild hybrid nor a conventional full hybrid",
PORSCHE,CAYENNE|PANAMERA,full,,PETROL HYBRID,,,,,medium,"Manufacturer specification, not row-verified: Porsche S Hybrid full hybrid",
HINO,300|DUTRO,full,DIESEL ELECTRIC HYBRID,DIESEL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Hino parallel full hybrid truck","DIESEL HYBRID maps to Mild hybrid, so these move to a key that maps to Hybrid."
ISUZU,ELF,full,DIESEL ELECTRIC HYBRID,DIESEL HYBRID,,,,,high,"Manufacturer specification, not row-verified: Isuzu parallel full hybrid truck","DIESEL HYBRID maps to Mild hybrid, so these move to a key that maps to Hybrid."
ISUZU,ELF,full,,DIESEL ELECTRIC HYBRID,,,,,high,"Manufacturer specification, not row-verified: Isuzu parallel full hybrid truck",
FOTON,TUNLAND,mild,,DIESEL HYBRID,,,,,medium,"Manufacturer specification, not row-verified: Foton 48V mild hybrid",DIESEL HYBRID already maps to Mild hybrid; no override.
RENAULT,CAPTUR,full,,,,,,,high,"Manufacturer specification, not row-verified: Renault E-Tech full hybrid",
